N_Tasks,Algorithm,Avg_Cost,Avg_Time
10,Random (Initial),170.8,3.0040740966796874e-06
10,Hill Climbing,104.0,0.001528310775756836
10,Random Restart HC,103.8,0.004744100570678711
10,Simulated Annealing,109.2,0.00028338432312011717
10,Genetic Algorithm,106.0,0.0036357879638671876
20,Random (Initial),560.2,6.246566772460937e-06
20,Hill Climbing,297.2,0.0025771141052246095
20,Random Restart HC,291.6,0.0077799797058105465
20,Simulated Annealing,339.8,0.00043287277221679685
20,Genetic Algorithm,352.6,0.008318424224853516
30,Random (Initial),1533.4,6.246566772460937e-06
30,Hill Climbing,795.4,0.003368091583251953
30,Random Restart HC,799.6,0.010177421569824218
30,Simulated Annealing,919.8,0.0006022453308105469
30,Genetic Algorithm,968.6,0.01438145637512207
40,Random (Initial),2486.2,6.055831909179687e-06
40,Hill Climbing,1121.2,0.00442972183227539
40,Random Restart HC,1135.0,0.013619279861450196
40,Simulated Annealing,1415.2,0.0007356643676757812
40,Genetic Algorithm,1562.4,0.022395849227905273
50,Random (Initial),3948.4,6.246566772460937e-06
50,Hill Climbing,1930.0,0.0048749446868896484
50,Random Restart HC,1982.8,0.01555461883544922
50,Simulated Annealing,2487.4,0.0008155345916748047
50,Genetic Algorithm,2734.2,0.029159164428710936
